artist,album,track,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Kelly Clarkson,Stronger (Deluxe Version),Mr. Know It All,7CHIJREUYyM7vndBQE6iMy,0.676,0.807,5,-5.131,1,0.029,0.0284,0.0,0.0701,0.443,95.956,232520,4
Gotye,Making Mirrors,In Your Light,7LaNtA4nlbdbevO0Fc2pfm,0.605,0.934,0,-4.059,1,0.0377,0.0011,1.19e-05,0.185,0.75,101.913,279044,4
OneRepublic,Dreaming Out Loud,All We Are,5scATmVtmhc3tkDpR026Da,0.397,0.817,2,-5.495,1,0.042,0.0966,8.16e-06,0.316,0.416,158.004,266227,4
James Morrison,Undiscovered (International Version),Call The Police,1y9U1pdI3naKK7sArioECH,0.473,0.871,8,-4.732,1,0.0668,0.178,0.0,0.0584,0.578,156.0,224640,4
P!nk,Funhouse (Deluxe Version),So What,4LyvsPgJtjUQQtw0FJ6Jys,0.537,0.866,11,-3.08,0,0.0445,0.000308,1.38e-06,0.382,0.416,126.003,215160,4
Alex Clare,The Lateness Of The Hour,I Love You,2eaBBVEfoRK4MJYmIAeNw8,0.643,0.502,11,-6.558,1,0.0392,0.07,0.0344,0.149,0.2,130.018,279960,4
Lana Del Rey,Born To Die - The Paradise Edition,Off To The Races,3uUCgL0cbSd0isnqhHCm1f,0.399,0.721,4,-5.562,0,0.0523,0.0621,0.00282,0.278,0.113,160.125,299934,4
Alicia Keys,The Diary Of Alicia Keys,If I Ain't Got You,3XVBdLihbNbxUwZosxcGuJ,0.609,0.445,7,-9.129,1,0.106,0.603,6.77e-06,0.104,0.166,118.393,228707,3
Jason Mraz,Love Is a Four Letter Word,93 Million Miles,38jy6kRlPt8z1GUS9WXeNh,0.573,0.454,3,-10.286,1,0.0258,0.479,1.36e-05,0.0974,0.515,140.187,216387,4
Corinne Bailey Rae,Corinne Bailey Rae,Breathless,3YPchhrSmcwMHl41aToYG1,0.313,0.491,9,-7.939,1,0.0387,0.321,1.82e-06,0.0863,0.243,178.262,255387,3
Amy Winehouse,Back To Black (Deluxe Edition),Wake Up Alone,2pxCOdnHEZZ3A1XRNxjc1v,0.583,0.271,11,-15.866,0,0.0299,0.545,0.0,0.148,0.235,102.678,222000,3
Adele,21,Rumour Has It,50yHVBbU6M4iIfqBI1bxWx,0.612,0.748,0,-5.014,1,0.0445,0.617,0.0,0.167,0.574,120.052,223267,4
Florence + The Machine,Lungs (Deluxe Version),You've Got The Love,244AvzGQ4Ksa5637JQu5Gy,0.574,0.694,6,-4.697,1,0.0327,0.00481,0.0,0.102,0.401,109.85,168667,4
Colbie Caillat,Coco,Realize,6Vi6gx8IMRXORPx8fPd2YJ,0.695,0.599,1,-6.389,1,0.0317,0.117,0.0,0.118,0.187,123.948,244107,4
Kesha,Animal (Expanded Edition),Take It Off,0WCiI0ddWiu5F2kSHgfw5S,0.729,0.675,5,-5.292,0,0.0286,4.14e-05,0.00126,0.0867,0.74,125.036,215200,4
Adele,21,Don't You Remember,48s4feNgV243gbAGTTBIrc,0.643,0.4,3,-5.712,1,0.0304,0.214,0.0,0.0866,0.226,115.023,243200,4
Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version],Imma Be,16sbugRbf9xEKlekuQ7Whm,0.597,0.517,0,-6.963,1,0.365,0.179,0.0,0.307,0.412,92.035,257560,4
James Morrison,"Songs For You, Truths For Me (International Exclusive Bundle)",Nothing Ever Hurt Like You,0f19yeMTQ5ygqwUhv46tdN,0.671,0.909,10,-3.213,1,0.0569,0.0108,0.0,0.6,0.795,119.97,231840,4
Florence + The Machine,Lungs (Deluxe Version),Cosmic Love,1myEOhXztRxUVfaAEQiKkU,0.518,0.809,9,-5.451,0,0.0382,0.137,0.000239,0.119,0.0957,140.065,255907,4
Amy Winehouse,Back To Black,Me & Mr Jones,5RqIM2vv5nw2PGJBqPD8Rg,0.59,0.803,4,-2.518,1,0.085,0.537,0.0,0.105,0.477,87.851,151573,4
Bruno Mars,Doo-Wops & Hooligans,Marry You,6SKwQghsR8AISlxhcwyA9R,0.62,0.832,10,-4.848,1,0.036,0.332,0.0,0.104,0.481,144.926,230120,4
Rihanna,Loud,S&M,0C4ejWmOTMv8vuYj85mf8m,0.766,0.682,1,-5.02,1,0.0419,0.0113,0.00016,0.104,0.833,127.966,243533,4
Alanis Morissette,Jagged Little Pill (Collector's Edition),Wake Up - 2015 Remaster,6pEU943aHfZdY4jhUpQ9ms,0.534,0.855,4,-7.102,0,0.0526,0.00706,0.0,0.122,0.391,95.274,295893,4
Emeli Sandé,Our Version Of Events (Special Edition),Daddy,2Wi4fV0hQZg9mx0H10bjip,0.619,0.744,1,-5.072,1,0.0472,0.373,0.0,0.104,0.362,114.919,188453,4
Kelly Clarkson,Breakaway,Because of You,3f3omU8n47Mqyab5nCaGyT,0.583,0.584,5,-5.362,0,0.0314,0.254,0.0,0.123,0.136,140.039,219493,4
Kesha,Animal (Expanded Edition),Your Love Is My Drug,6vc2Jq2vaGu8z326kSrw92,0.826,0.612,1,-3.891,1,0.0982,0.00681,0.0,0.0889,0.756,120.057,187133,4
Leona Lewis,Echo,I Got You,1FbTceMivK92mVV3iGdwZk,0.587,0.738,7,-4.469,1,0.0282,0.548,0.0,0.109,0.329,99.046,225933,4
James Blunt,All The Lost Souls,Shine On,3Y1JP1ulhlpgCqRzMQhVJr,0.363,0.355,7,-9.877,1,0.0457,0.371,7.43e-05,0.0814,0.19,180.364,266533,4
Norah Jones,Come Away With Me,Come Away With Me,0Cvjlph1WGbwZY1PlMEtJY,0.363,0.129,0,-14.304,1,0.0322,0.904,1.52e-06,0.157,0.147,80.367,198147,3
Duffy,Rockferry,Mercy,1zusIxNqJu8i4g6P6hJ2Qa,0.793,0.859,0,-3.774,1,0.0332,0.266,0.000356,0.133,0.964,129.912,219920,4
Sia,Some People Have REAL Problems,I Go To Sleep,7lYAgrpZH9UlfPfy9mxNt5,0.433,0.361,6,-7.679,0,0.0298,0.609,0.00565,0.177,0.102,119.53,226133,3
Christina Perri,lovestrong.,arms,5u0YB9bpmgEPS2bPhwfRFV,0.463,0.755,4,-7.244,1,0.0634,0.11,4.89e-06,0.103,0.252,145.319,261213,4
Sara Bareilles,Kaleidoscope Heart,King of Anything,3VA8T3rNy5V24AXxNK5u9E,0.676,0.762,1,-4.172,1,0.0351,0.461,0.0,0.0574,0.81,119.003,207493,4
Adele,21,One and Only,0ZUHoyKB4dPqXG7MGvnQGm,0.528,0.467,5,-5.306,1,0.0287,0.295,0.0,0.165,0.184,154.985,348227,3
Maroon 5,Songs About Jane: 10th Anniversary Edition,This Love,6ECp64rv50XVz93WvxXMGF,0.712,0.862,5,-4.612,0,0.0378,0.0525,0.0,0.093,0.809,95.051,206200,4
Duffy,Rockferry,Stepping Stone,3g9nxeJPQM4CxhHt1iNlB4,0.694,0.523,2,-6.407,0,0.0254,0.875,0.000172,0.352,0.472,97.985,209453,4
Sia,Music From Baz Luhrmann's Film The Great Gatsby (International Streaming Version),Kill And Run,6YdF6J3rz1BX6AZVhe7zgL,0.152,0.334,7,-4.735,1,0.0306,0.639,6.95e-05,0.115,0.161,71.728,215867,4
Ed Sheeran,+,Wake Me Up,0ygAYQQy7bfDN6gH640bbl,0.616,0.209,9,-13.43,1,0.406,0.902,0.0,0.139,0.336,86.891,229613,1
Florence + The Machine,Lungs (Deluxe Version),Dog Days Are Over,456WNXWhDwYOSf5SpTuqxd,0.501,0.809,7,-5.264,1,0.0938,0.0338,0.00602,0.119,0.258,149.964,252819,4
Lady Gaga,The Fame,Paparazzi,02XnQdf7sipaKBBHixz3Zp,0.762,0.692,5,-3.973,0,0.0438,0.113,0.0,0.094,0.397,114.906,208307,4
Birdy,Birdy (Deluxe Version),Skinny Love,0HRshWRNAwQBROvxXqG3i9,0.379,0.29,4,-8.485,1,0.051,0.952,0.00106,0.118,0.169,166.467,201080,4
Katy Perry,Katy Perry - Teenage Dream: The Complete Confection,California Gurls,6tS3XVuOyu10897O3ae7bi,0.791,0.754,0,-3.729,1,0.0569,0.00446,0.0,0.163,0.425,125.014,234653,4
Tracy Chapman,Tracy Chapman,She's Got Her Ticket,61xvgZVz1DiR628nmGtsZH,0.765,0.486,7,-13.819,1,0.0469,0.0745,9.89e-06,0.282,0.856,87.054,234507,4
La Roux,La Roux,In For The Kill,6yRraj2ghJiIcVbQ6Vb59Q,0.629,0.969,8,-0.276,0,0.0455,0.00184,0.0,0.122,0.905,150.01,248627,4
Taylor Swift,Fearless (Big Machine Radio Release Special),Love Story,1D4PL9B8gOg78jiHg3FvBb,0.617,0.741,2,-3.97,1,0.0311,0.131,0.0,0.0772,0.306,118.984,236267,4
Beyoncé,4,Dance for You,7cvkXf3AwPGT041PyOi5VX,0.616,0.78,2,-6.062,1,0.0623,0.0322,0.0,0.173,0.471,110.005,377467,4
James Blunt,Moon Landing,Bonfire Heart,2N0volXQpwsvjDorTTxBAU,0.575,0.821,0,-5.7,1,0.0527,0.181,0.0,0.124,0.449,118.021,238000,4
Jason Mraz,We Sing. We Dance. We Steal Things.,I'm Yours,1EzrEOXmMH3G43AXT1y7pA,0.686,0.457,11,-8.322,1,0.0468,0.595,0.0,0.105,0.718,150.953,242187,4
Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version],Rock That Body,2WQ09wqQBIOor7Q0VpIDBK,0.715,0.907,7,-6.025,0,0.0993,0.0172,8.39e-05,0.426,0.841,124.992,268840,4
Alex Clare,The Lateness Of The Hour,Whispering,75KDfhPbmeet8kMY9cJZPt,0.271,0.49,0,-9.069,1,0.0528,0.0492,0.00028,0.11,0.175,67.605,270667,4
Bruno Mars,Doo-Wops & Hooligans,The Lazy Song,386RUes7n1uM1yfzgeUuwp,0.738,0.804,11,-3.851,1,0.0621,0.332,0.0,0.279,0.949,174.943,190213,4
Coldplay,X&Y,Fix You,7LVHVU3tWfcxj5aiPFEW4Q,0.209,0.418,3,-8.74,1,0.0338,0.163,0.00195,0.113,0.123,138.265,295533,4
Lily Allen,"Alright, Still",Take What You Take,7xyvMaJZA7thwtPQv6OCbc,0.634,0.941,8,-6.103,1,0.0337,0.000297,0.000193,0.114,0.793,99.961,246027,4
Amy Winehouse,Back To Black,Love Is A Losing Game,570ZDO2Lmh6NQChOU5xPUL,0.48,0.561,0,-5.874,1,0.027,0.317,0.00641,0.184,0.541,164.791,154160,4
Colbie Caillat,Breakthrough (Int'l Deluxe Version),Fallin' For You,3mJq2ZlI3ZN8hvmRSdzRy9,0.645,0.825,4,-6.473,1,0.0273,0.163,0.0,0.114,0.641,117.037,215320,4
Emeli Sandé,Our Version Of Events (Special Edition),My Kind Of Love,4peOU5pRQ3wpjofMSXGShR,0.56,0.652,5,-2.205,0,0.0328,0.743,0.0,0.488,0.611,86.993,198093,4
P!nk,The Truth About Love,Walk of Shame,6l2Q66TlfZqzbRkFrZOMT1,0.667,0.902,7,-4.588,1,0.0988,0.00112,0.0,0.0624,0.719,135.933,161973,4
Katy Perry,Katy Perry - Teenage Dream: The Complete Confection,Last Friday Night (T.G.I.F.),455AfCsOhhLPRc68sE01D8,0.649,0.815,3,-3.796,0,0.0415,0.00125,4.31e-05,0.671,0.765,126.03,230747,4
Ed Sheeran,+,Kiss Me,0Tel1fmuCxEFV6wBLXsEdk,0.589,0.227,2,-16.67,1,0.0498,0.64,0.00469,0.0248,0.182,74.993,280853,4
Coldplay,A Rush of Blood to the Head,Clocks,0BCPKOYdS2jbQ8iyB56Zns,0.577,0.749,5,-7.215,0,0.0279,0.599,0.0112,0.183,0.261,130.969,307880,4
Kesha,Cannibal (Expanded Edition),We R Who We R,3LUWWox8YYykohBbHUrrxd,0.736,0.817,8,-4.9,1,0.0407,0.00987,0.00167,0.117,0.653,119.95,204760,4
Bruno Mars,Doo-Wops & Hooligans,Just the Way You Are,47Slg6LuqLaX0VodpSCvPt,0.637,0.843,5,-5.413,1,0.0432,0.0151,0.0,0.0876,0.434,109.012,220733,4
Gotye,Making Mirrors,Save Me,2zY5sVw2ZNhjdm1cywGYlT,0.614,0.899,1,-5.134,0,0.0292,0.0174,0.00415,0.303,0.725,117.977,232956,4
Amy Winehouse,Back To Black,Just Friends,2i1S5Dq9SaFGcnw8mnb4ks,0.754,0.806,9,-4.767,1,0.0388,0.0346,0.0274,0.204,0.532,95.506,191840,4
Sia,Colour The Small One,Breathe Me,7jqzZyJJLrpkRFYGpkqSK6,0.552,0.643,0,-7.36,1,0.0327,0.0364,0.74,0.105,0.212,120.012,272800,4
Duffy,Rockferry,Syrup & Honey,5fDWs2ZejqlDvjDxLUNcGB,0.357,0.241,2,-12.366,1,0.0618,0.94,0.000129,0.353,0.227,91.195,197893,4
CeeLo Green,The Lady Killer (Deluxe),Old Fashioned,4kuRmggsU3EPrVhwdE7Ikc,0.481,0.635,7,-4.866,1,0.0246,0.31,0.0,0.36,0.396,85.043,204987,3
Jessie J,Who You Are (Platinum Edition),Domino,2fQxE0jVrjNMT9oJAXtSJR,0.758,0.554,7,-4.567,1,0.0341,0.0116,0.0,0.0418,0.783,126.986,231840,4
Tracy Chapman,Tracy Chapman,Baby Can I Hold You,2DjWsDGgL1xNbhnr7f6t5F,0.692,0.422,2,-10.533,1,0.0333,0.0811,0.0,0.0848,0.468,74.375,193120,4
Adele,21,Set Fire to the Rain,5PKWUDfQFtc5qqo8cs1gQp,0.603,0.67,2,-3.882,0,0.0249,0.00408,1.66e-06,0.112,0.445,107.995,242974,4
Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version],Boom Boom Pow,3oDFtOhcN08qeDPAK6MEQG,0.867,0.857,9,-5.892,1,0.0663,0.13,0.00171,0.13,0.402,130.048,251440,4
Alex Clare,The Lateness Of The Hour,Relax My Beloved,76phsKvRRhuqvUivKx9LA9,0.559,0.7,5,-5.947,1,0.0337,0.00991,2.73e-06,0.126,0.361,93.047,211987,3
Adele,21,Lovesong,5Yh8llWGzOQiBgrkOkj7vr,0.689,0.369,0,-9.407,0,0.0279,0.693,0.00234,0.111,0.362,116.885,316240,4
Joss Stone,Mind Body & Soul,Killing Time,5G6x3QgKSzos6khVmDa3rI,0.611,0.692,8,-5.544,1,0.279,0.157,0.0,0.0902,0.544,135.047,311933,4
Alicia Keys,The Diary Of Alicia Keys,Karma,588RGyR1f4Plc8nm7SrdCa,0.727,0.736,10,-6.203,1,0.0615,0.0743,0.00311,0.0347,0.687,85.1,256000,4
A Fine Frenzy,Bomb In A Birdcage,Bird Of The Summer,6683Ew0opY9AvL7FDkymxu,0.613,0.564,9,-7.654,1,0.0309,0.257,5.06e-05,0.136,0.42,120.105,198960,4
The Fray,How To Save A Life,How to Save a Life,5fVZC9GiM4e8vu99W0Xf6J,0.64,0.743,10,-4.08,1,0.0379,0.269,0.0,0.101,0.361,122.035,262533,4
Lana Del Rey,Born To Die - The Paradise Edition,Video Games - Remastered,0fBSs3fRoh1yJcne77fdu9,0.236,0.249,6,-9.595,0,0.0348,0.811,1e-06,0.087,0.181,72.847,281960,5
P!nk,Raise Your Glass,Raise Your Glass,1gv4xPanImH17bKZ9rOveR,0.7,0.709,7,-5.006,1,0.0839,0.0048,0.0,0.0289,0.625,122.019,202960,4
Maroon 5,Songs About Jane,She Will Be Loved,7sapKrjDij2fpDVj0GxP66,0.706,0.713,0,-5.512,0,0.0301,0.0596,0.0,0.132,0.544,102.037,257133,4
Sia,Clap Your Hands,Clap Your Hands,18cST7DK31Ab2rTH1POP6A,0.699,0.87,0,-4.925,1,0.0546,0.000532,0.0219,0.359,0.778,120.033,238467,4
Jessie J,Who You Are (Platinum Edition),Do It Like A Dude,4wAJ8aQ9Ufj9ylfWESkrDL,0.664,0.844,2,-3.672,1,0.0487,0.0499,0.0,0.364,0.377,140.039,195240,4
Christina Perri,lovestrong.,bluebird,4NpGJZC2cL5RYbzFfbcEVE,0.423,0.46,0,-7.587,1,0.0454,0.433,0.0,0.0701,0.266,125.106,229600,4
Lady Antebellum,Need You Now,American Honey,4xInIiKipU1mtUogJ3ZdYr,0.588,0.684,1,-5.154,1,0.0288,0.508,0.0,0.141,0.121,85.997,224867,4
Sara Bareilles,The Blessed Unrest,Brave,6Uy6K3KdmUdAfelUp0SeXn,0.551,0.836,10,-3.838,0,0.0524,0.00502,2.1e-05,0.0425,0.758,185.063,220573,4
Coldplay,X&Y,Speed of Sound,7clUVcSOtkNWa58Gw5RfD4,0.523,0.898,11,-6.765,0,0.0567,0.00491,0.0345,0.0746,0.355,123.085,287907,4
Norah Jones,Come Away With Me,Don't Know Why,6ybViy2qrO9sIi41EgRJgx,0.732,0.198,5,-11.775,1,0.028,0.883,1.1e-05,0.0659,0.618,88.174,186147,4
KT Tunstall,Eye To The Telescope,Black Horse And The Cherry Tree,0qAMjeQFyd1qD0LDiV8gWp,0.748,0.786,4,-7.788,0,0.0641,0.328,0.0,0.34,0.917,104.833,172373,4
Beyoncé,4,Countdown,3axkNosdVQLZiq1HakuGhc,0.665,0.787,5,-5.73,1,0.151,0.308,0.0,0.219,0.699,167.349,212147,4
Rihanna,Good Girl Gone Bad: Reloaded,Don't Stop The Music,0ByMNEPAPpOR5H69DVrTNy,0.835,0.669,6,-5.582,0,0.0643,0.0336,6.92e-05,0.0535,0.542,122.668,267080,4
Adele,21,Turning Tables,0X1FYVkgy7Tfw79cY3C7lx,0.361,0.446,0,-6.044,0,0.0281,0.95,1.32e-05,0.132,0.212,155.542,250000,4
Kesha,Animal (Expanded Edition),TiK ToK,0HPD5WQqrq7wPWR7P7Dw1i,0.755,0.837,2,-2.718,0,0.142,0.0991,0.0,0.289,0.714,120.028,199693,4
Fall Out Boy,American Beauty/American Psycho,Uma Thurman,5PUawWFG1oIS2NwEcyHaCr,0.622,0.961,4,-2.616,0,0.0669,0.102,0.00016,0.264,0.687,149.962,211573,4
Kat Dahlia,My Garden,I Think I'm In Love,3U1TuSqHIubBA10cVP7Sk6,0.632,0.638,7,-6.731,1,0.0505,0.137,0.0,0.125,0.574,121.868,202667,3
Rachel Platten,Wildfire,Fight Song,37f4ITSlgPX81ad2EvmVQr,0.564,0.714,7,-4.987,1,0.129,0.0549,0.0,0.155,0.33,175.924,204013,4
Sheppard,Bombs Away,Geronimo,0qt5f5EL92o8Snzopsv0en,0.705,0.78,7,-6.267,1,0.0805,0.456,0.00152,0.115,0.457,142.028,218228,4
Nicki Minaj,The Pinkprint (International Deluxe Explicit),The Night Is Still Young,75u9uswC5UMdtv4SQ3xSYf,0.656,0.692,1,-6.145,0,0.0563,0.00212,0.00305,0.128,0.693,128.016,227560,4
Vance Joy,Dream Your Life Away (Special Edition),Riptide,3JvrhDOgAt6p7K8mDyZwRd,0.484,0.731,1,-6.694,1,0.0379,0.431,0.0,0.151,0.51,101.654,204280,4
Shawn Mendes,Handwritten,Stitches,3zkWCteF82vJwv0hRLba76,0.746,0.754,1,-6.681,1,0.067,0.0152,0.0,0.0486,0.764,149.882,206880,4
Fetty Wap,Fetty Wap,Trap Queen,0TzxcB6dK46vgXZT2P8qeR,0.746,0.873,7,-3.803,1,0.12,0.0244,0.0,0.356,0.816,148.075,222128,4
One Direction,Drag Me Down,Drag Me Down,70OTIpw8x8UXUsuCHW9i1i,0.723,0.711,0,-5.576,0,0.0378,0.0997,0.0,0.0528,0.606,138.098,192107,4
Tove Lo,Queen Of The Clouds,Talking Body,7cgu4JBW3hq1GwTM1ilkKQ,0.736,0.761,4,-5.449,0,0.0338,0.0966,0.0,0.0823,0.114,119.999,238427,4
Fall Out Boy,American Beauty/American Psycho,Centuries,04aAxqtGp5pv12UXAg4pkq,0.394,0.858,4,-2.868,0,0.0729,0.00359,0.0,0.102,0.56,176.044,228360,4
Echosmith,Talking Dreams (Deluxe Version),Bright,3WKg25vrbjJlkhsgl2W4p3,0.646,0.431,6,-8.517,1,0.0262,0.637,6.99e-06,0.113,0.292,90.034,220627,4
Jason Derulo,Everything Is 4,Want to Want Me,7oGZAicScQt96OAW4AruYy,0.775,0.68,0,-5.508,0,0.0629,0.00906,0.0,0.109,0.656,114.025,207719,4
Who Is Fancy,Goodbye,Goodbye,6K5xY7EabiBLjd2HuBQIak,0.717,0.692,5,-6.735,1,0.0466,0.0635,0.00049,0.0923,0.602,114.997,206213,4
Nick Jonas,Nick Jonas X2,Jealous - Remix,5NQJnRpJHRaupdegphntQT,0.684,0.71,11,-3.614,0,0.0779,0.0132,0.0,0.444,0.451,93.007,222187,4
Sia,1000 Forms Of Fear,Elastic Heart,6kwAbEjseqBob48jCus7Sz,0.421,0.791,9,-4.998,1,0.0496,0.0117,1.48e-05,0.146,0.499,130.075,257200,4
The Weeknd,"Earned It (Fifty Shades Of Grey) [From The ""Fifty Shades Of Grey"" Soundtrack]","Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",2PIvq1pGrUjY007X5y1UpM,0.66,0.382,2,-5.919,0,0.0304,0.391,0.0,0.0972,0.436,119.875,252227,3
Flo Rida,My House,My House,6Knv6wdA0luoMUuuoYi2i1,0.688,0.702,7,-4.792,0,0.0499,0.0215,0.0,0.128,0.74,94.006,192191,4
Carly Rae Jepsen,Emotion (Deluxe),I Really Like You,1mKXfxIOA7eQQJ844OFm7L,0.622,0.808,5,-4.701,1,0.0418,0.00543,5.63e-05,0.215,0.599,122.121,204773,4
Becky G,Can't Stop Dancin',Can't Stop Dancin',5NetSTs4dgiR6GLrZOQcwJ,0.645,0.669,0,-7.946,0,0.0638,0.00545,0.00138,0.0997,0.568,100.052,198853,4
Andy Grammer,Magazines Or Novels,"Honey, I'm Good.",4MflGTO2ZTcSQ12bWcyRgI,0.752,0.775,9,-7.289,1,0.0546,0.0324,0.0,0.351,0.595,122.014,199263,4
Nick Jonas,Nick Jonas X2,Chains,5Eg4TsPcqNbIjd8ADMZosg,0.589,0.611,0,-5.881,0,0.0459,0.0151,0.0,0.0757,0.121,76.006,203107,4
Maroon 5,V,Sugar,2iuZJX9X9P0GKaE93xcPjk,0.748,0.788,1,-7.055,1,0.0334,0.0591,0.0,0.0863,0.884,120.076,235493,4
Maroon 5,V (Deluxe),This Summer,5NUlOzzMdoIABFTnhizCQa,0.54,0.766,4,-5.148,0,0.07,0.000248,0.0,0.641,0.176,98.932,224400,4
Ed Sheeran,x (Deluxe Edition),Thinking out Loud,34gCuhDGsG4bRPIf9bb02f,0.781,0.445,2,-6.061,1,0.0295,0.474,0.0,0.184,0.591,78.998,281560,4
X Ambassadors,VHS,Renegades,0fYVliAYKHuPmECRs1pbRf,0.526,0.862,2,-6.003,1,0.0905,0.0144,0.0597,0.229,0.528,90.052,195200,4
Ed Sheeran,x (Deluxe Edition),Don't,1huvTbEYtgltjQRXzrNKGi,0.806,0.608,1,-7.008,1,0.0659,0.0113,0.0,0.635,0.849,95.049,219840,4
Ariana Grande,My Everything (Deluxe),One Last Time,7xoUc6faLbCqZO6fQEYprd,0.628,0.593,8,-5.036,1,0.0323,0.093,1.65e-06,0.096,0.104,125.026,197267,4
Ellie Goulding,Delirium (Deluxe),"Love Me Like You Do - From ""Fifty Shades Of Grey""",3zHq9ouUJQFQRf3cm1rRLu,0.262,0.606,8,-6.646,1,0.0484,0.247,0.0,0.125,0.275,189.857,252534,4
Mayer Hawthorne,How Do You Do,The Walk,7tBZa65xUKMMan9tIMPqbi,0.849,0.601,6,-5.682,0,0.0319,0.42,8.88e-06,0.108,0.966,110.019,218413,4
Miley Cyrus,The Time Of Our Lives (International Version),Party In The U.S.A.,3E7dfMvvCLUddWissuqMwr,0.652,0.698,10,-4.667,0,0.042,0.00112,0.000115,0.0886,0.47,96.021,202067,4
Olly Murs,In Case You Didn't Know,Dance with Me Tonight,1FSWSs9CL01RCYxXtm08Rf,0.672,0.748,11,-5.922,0,0.0589,0.305,0.0,0.0811,0.964,163.984,202227,4
Echosmith,Cool Kids (RAC Mix),Cool Kids - RAC Mix,0aHx993Ffbxhx2u9Xo3SxN,0.7,0.672,8,-6.255,1,0.0598,0.00189,0.0338,0.0839,0.262,130.033,259329,4
Lenny Kravitz,Greatest Hits,It Ain't Over 'Til It's Over,3aZPzF7Sr0zy3K0EkKyEzk,0.663,0.748,6,-5.83,1,0.0463,0.277,0.00318,0.312,0.925,159.719,242640,4
The Cardigans,First Band On The Moon,Lovefool,0u4htORODiTK9vHVA89MQX,0.64,0.602,9,-7.902,1,0.0299,0.0646,0.0,0.375,0.951,111.87,193893,4
Maroon 5,Songs About Jane,Sunday Morning,1YI0uK36eupTmw9F8kHysr,0.607,0.76,0,-5.229,1,0.0482,0.0745,0.0,0.0595,0.805,88.059,244867,4
Raphael Saadiq,The Way I See It,Love That Girl,4ZKGarvWsSOruOaw40cFNz,0.71,0.674,1,-5.393,1,0.0352,0.0136,1.73e-05,0.0366,0.7,124.033,184413,4
Michael Jackson,Off the Wall,Don't Stop 'Til You Get Enough - Single Version,46eu3SBuFCXWsPT39Yg3tJ,0.878,0.821,11,-9.875,1,0.089,0.126,0.0461,0.183,0.947,118.881,365467,4
The Emotions,The Best Of The Emotions: Best Of My Love,Best of My Love,6UjlpJhUqOQqv0hrb38IDI,0.764,0.57,0,-11.361,1,0.0348,0.45,0.362,0.0812,0.972,115.376,219933,4
The Staple Singers,Stax Classics,I'll Take You There,5xHfZxFBcMA2akGVMM1bdk,0.847,0.636,0,-7.016,1,0.0441,0.0908,3.95e-06,0.0846,0.766,101.646,195107,4
Mary J. Blige,What's The 411?,Real Love,3XG801WWhqC753dekEBkMt,0.769,0.781,0,-5.472,1,0.0797,0.119,0.000371,0.0506,0.826,95.02,269973,4
MKTO,MKTO,Classic,6FE2iI43OZnszFLuLtvvmg,0.72,0.791,1,-4.689,1,0.124,0.0384,0.0,0.157,0.756,102.071,175427,4
